Text,Label
"The router made my day, totally worth it. Definitely worth the price.",True
Poor quality bicycle and terrible performance. Save your money.,False
Brilliant experience with the webcam; would buy again. Definitely worth the price.,True
I'm delighted with this printer; five stars.,True
Bad experience with the bicycle; would not buy again.,False
Terrible webcam! I don't recommend it.,False
Fantastic printer! Highly recommended to everyone.,True
"The tripod ruined my day, not worth it. Save your money.",False
Unimpressive monitor. Clunky and unreliable.,False
This treadmill is awful—I'm very disappointed.,False
I'm delighted with this mattress; five stars.,True
The toaster ruined my day; not worth it.,False
"I'm delighted with this course, five stars. Definitely worth the price.",True
This charger is great—I'm very satisfied with it.,True
I'm delighted with this tablet; five stars.,True
Superb quality camera lens and excellent performance.,True
This template is awful—I'm very disappointed.,False
"Bad experience with the CPU, would not buy again.",False
Superb quality tutorial and excellent performance. Definitely worth the price.,True
Terrible software update! I don't recommend it.,False
Superb quality movie ticket and excellent performance.,True
The speaker ruined my day; not worth it.,False
This bicycle is awful—I'm very disappointed.,False
What a pleasant surprise; the flight is outstanding.,True
Fantastic lawn mower! Highly recommended to everyone.,True
"I absolutely love the movie ticket, it works perfectly.",True
The fridge exceeded my expectations in every way.,True
This yoga mat is awful—I'm very disappointed. Save your money.,False
"The software update ruined my day, not worth it.",False
I'm frustrated with this helmet; one star.,False
Unimpressive museum. Clunky and unreliable.,False
What a pleasant surprise; the microwave is outstanding. Definitely worth the price.,True
This stylus is great—I'm very satisfied with it.,True
This tripod is great—I'm very satisfied with it. Definitely worth the price.,True
I'm frustrated with this pillow; one star.,False
Terrible service plan! I don't recommend it.,False
This bundle is great—I'm very satisfied with it.,True
What an unpleasant surprise; the movie is terrible. Save your money.,False
The subscription made my day; totally worth it.,True
Brilliant experience with the ebook; would buy again.,True
"The pillow made my day, totally worth it. Definitely worth the price.",True
This software update is great—I'm very satisfied with it. Definitely worth the price.,True
This GPU is great—I'm very satisfied with it.,True
What an unpleasant surprise; the lawn mower is terrible. Save your money.,False
Fantastic speaker! Highly recommended to everyone.,True
Bad experience with the fridge; would not buy again.,False
What an unpleasant surprise; the helmet is terrible. Save your money.,False
The headphones made my day; totally worth it.,True
Poor quality speaker and terrible performance. Save your money.,False
"The gift card made my day, totally worth it. Definitely worth the price.",True
I absolutely hate the printer; it barely works.,False
I absolutely hate the charger; it barely works.,False
Fantastic washing machine! Highly recommended to everyone.,True
I'm frustrated with this CPU; one star. Save your money.,False
