Text,Sentiment
Thật sự đáng tiền tại banking app...,True
Thật sự không đáng tiền tại ứng dụng đặt xe...,False
Easy to use app at this store ,True
Very slow at this store...,False
Worth the money at the service,True
very disappointed at their store...,False
Rất sản phẩm đúng mô tả tại siêu thị...,True
ứng dụng hay bị lỗi tại trung tâm bảo hành... ,False
"rất phản hồi kịp thời, reasonable price... ",True
Overpriced at the store,False
"Siêu nhân viên thân thiện, matches the description... ",True
Cực kỳ giao hàng chậm tại cửa hàng điện thoại. ,False
"cực kỳ chậm trễ, bad packaging...",False
Cực kỳ ứng dụng hay bị lỗi tại quán cà phê! ,False
"khuyến mãi hấp dẫn, friendly staff...",True
Very disappointed at their service!,False
super helpful support at this store... ,True
Không đáng tiền tại ứng dụng đặt xe!,False
"Thật sự giá hợp lý, awesome deal!! ",True
Painful warranty at the store,False
Thật sự rất hài lòng tại trung tâm bảo hành! ,True
cực kỳ chậm trễ tại hotel...,False
Rất khuyến mãi hấp dẫn tại laptop store,True
Slow support at their site.,False
quá tôi sẽ quay lại tại nhà hàng...,True
Thật sự thái độ phục vụ kém tại ứng dụng đặt xe.,False
"siêu nhân viên thân thiện, reliable warranty...",True
"Thật sự giao hàng nhanh, matches the description! ",True
Siêu hỗ trợ nhanh chóng tại hotel...,True
quá chất lượng tuyệt vời tại mobile app!,True
"Giá hợp lý, fast delivery... ",True
thật sự giao hàng chậm tại customer service ,False
quá giá hợp lý tại quán cà phê... ,True
Thật sự sẽ không bao giờ dùng nữa tại ứng dụng đặt xe.,False
worth the money at this site...,True
rất dịch vụ rất tốt tại siêu thị!,True
"Quá chất lượng tuyệt vời, super helpful support!! ",True
not worth it at this app! ,False
Terrible experience at the app ,False
"Rất chậm trễ, item not as described.",False
quá bảo hành chu đáo tại website thương mại điện tử!,True
cực kỳ đóng gói sơ sài tại online shop! ,False
"Thật sự đóng gói cẩn thận, matches the description",True
"Rất bảo hành phiền phức, painful warranty...",False
"quá ứng dụng dễ dùng, friendly staff.",True
sẽ không bao giờ dùng nữa tại dịch vụ internet...,False
matches the description at their store ,True
"không đáng tiền, very slow!!",False
poor quality at this site!,False
Painful warranty at the app! ,False
Thật sự sản phẩm đúng mô tả tại dịch vụ internet,True
Slow support at their store... ,False
Worth the money at this site!!,True
"Thật sự bảo hành phiền phức, overpriced...",False
"Bảo hành chu đáo, reasonable price.",True
quá ứng dụng hay bị lỗi tại hotel! ,False
"quá đáng tiền, friendly staff",True
thật sự giá hợp lý tại dịch vụ internet...,True
excellent quality at the store!,True
very slow at this store...,False
great service at this store!!,True
Late delivery at their site!!,False
fast delivery at the site...,True
Quá chất lượng kém tại cinema! ,False
friendly staff at this service!! ,True
quá không đáng tiền tại ứng dụng đặt xe!,False
"Rất ứng dụng dễ dùng, smooth experience!",True
"Quá chậm trễ, poor quality!! ",False
"Rất hài lòng, careful packaging! ",True
overpriced at this store,False
Fast delivery at this store,True
"thật sự giá quá cao, bad packaging ",False
"siêu sản phẩm đúng mô tả, prompt response!",True
"cực kỳ chậm trễ, very disappointed!",False
Thật sự dịch vụ rất tốt tại ứng dụng đặt xe...,True
Not worth it at their service!!,False
thật sự nhân viên thân thiện tại banking app... ✨,True
Bad packaging at this site!!,False
great service at their store! 👏,True
cực kỳ bảo hành phiền phức tại cinema!! 🤦,False
Quá bảo hành chu đáo tại cinema. 🙂,True
painful warranty at this store!! 😡,False
rất tôi sẽ quay lại tại hotel...,True
Quá giá quá cao tại website thương mại điện tử!!,False
"quá dịch vụ rất tốt, reliable warranty!! 🙂",True
Quá giao hàng chậm tại cinema!!,False
Friendly staff at this app 👍,True
"Thật sự bảo hành phiền phức, hard to contact... 🤦",False
"Siêu sản phẩm đúng mô tả, worth the money!!",True
"rất giá quá cao, hard to contact.",False
phản hồi kịp thời tại hotel!!,True
friendly staff at their site!,True
Worth the money at this service,True
"Rất chất lượng kém, bad packaging",False
Worth the money at their service.,True
not worth it at this site!,False
friendly staff at this app!!,True
Very slow at this app! 🤦,False
awesome deal at this service...,True
thật sự chậm trễ tại banking app 💢,False
quá bảo hành chu đáo tại online shop! 💯,True
super helpful support at the service.,True
great service at this app! 🙂,True
Terrible experience at their app...,False
Reasonable price at this site 🙂,True
rất trải nghiệm kém tại delivery service.,False
smooth experience at the app 👍,True
"Sản phẩm không đúng mô tả, late delivery!! 😞",False
"Ứng dụng dễ dùng, worth the money...",True
"Cực kỳ rất thất vọng, not worth it... 👎",False
Siêu giao hàng nhanh tại dịch vụ internet. 🙂,True
chất lượng kém tại customer service!! 😩,False
Prompt response at their store...,True
rất sản phẩm không đúng mô tả tại nhà hàng!!,False
siêu giá hợp lý tại customer service... 💯,True
"rất hỗ trợ chậm, very slow",False
"Rất phản hồi kịp thời, worth the money!!",True
Laggy experience at their site,False
I will come back at their app,True
Laggy experience at the service!! 🤦,False
"giao hàng nhanh, worth the money...",True
"cực kỳ giao hàng chậm, terrible experience! 😩",False
Siêu sản phẩm đúng mô tả tại dịch vụ internet 👏,True
Poor quality at this store 😩,False
Quá phản hồi kịp thời tại ứng dụng đặt xe!!,True
"Quá hỗ trợ chậm, very slow... 😩",False
rất tôi sẽ quay lại tại trung tâm bảo hành. 😃,True
rất hỗ trợ chậm tại quán cà phê. 🤦,False
Reliable warranty at this site... 🙂,True
Buggy app at this app 🤦,False
Matches the description at their app.,True
"Cực kỳ rất thất vọng, laggy experience. 😩",False
Siêu giá hợp lý tại siêu thị!! 👏,True
"Cực kỳ ứng dụng hay bị lỗi, buggy app!! 😞",False
careful packaging at the store!,True
